"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Introduction to Psychology","201
001","26","2.423","11.5","19.2","23.1","11.5","11.5","7.7","15.4",".",".",".",".",".",".",".",".","."
"","202
001","372","3.048","21.2","22.3","27.4","12.6","11.8","4.3","0.3",".",".",".",".",".",".",".",".","."
"","002
202","255","3.014","27.8","20.4","19.2","12.9","11.4","5.9","2.4",".",".",".",".",".",".",".",".","."
"","003
202","364","3.518","50.8","21.2","17.9","4.4","4.7","0.5","0.5",".",".",".",".",".",".",".",".","."
"","202
004","200","3.196","34.5","17.5","22.0","14.5","6.5","3.5","1.0","0.5",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1191","3.209","33.9","20.7","21.8","10.5","8.6","3.4","0.9","0.1",".",".",".",".",".",".",".","."
"","210
001","54","2.815","25.9","3.7","33.3","11.1","16.7","3.7","5.6",".",".",".",".",".",".",".",".","."
"","210
002","61","3.008","27.9","4.9","39.3","3.3","21.3","3.3",".",".",".",".",".",".",".",".",".","."
"","210
003","62","2.323","11.3","4.8","25.8","8.1","30.6","11.3","8.1",".",".",".",".",".",".",".",".","."
"","004
210","59","2.636","10.2","8.5","33.9","10.2","32.2","1.7","3.4",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","236","2.691","18.6","5.5","33.1","8.1","25.4","5.1","4.2",".",".",".",".",".",".",".",".","."
"","001
225","77","2.981","11.7","19.5","39.0","13.0","16.9",".",".",".",".",".",".",".",".",".",".","."
"","225
002","71","3.352","33.8","15.5","40.8","7.0","2.8",".",".",".",".",".",".",".",".",".",".","."
"Research Methods","Course Total","148","3.159","22.3","17.6","39.9","10.1","10.1",".",".",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","281
001","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors - Research Methods","285
001","16","3.500","31.3","37.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Psychology","Course Total","56","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","350
001","274","3.220","28.8","20.8","27.4","9.5","8.4","1.8","0.4","2.6",".",".",".",".","0.4",".",".","."
"","350
308","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Sexuality","Course Total","275","3.221","28.7","21.1","27.3","9.5","8.4","1.8","0.4","2.5",".",".",".",".","0.4",".",".","."
"Topics in Psych for Honors","386
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
033","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","14","3.985","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","406
001","81","2.588","12.3","13.6","21.0","21.0","19.8","3.7","7.4","1.2",".",".",".",".",".",".",".","."
"","002
406","13","2.808","30.8","15.4","7.7","23.1","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"Psychology of Perception","Course Total","94","2.618","14.9","13.8","19.1","21.3","18.1","4.3","7.4","1.1",".",".",".",".",".",".",".","."
"","411
001","18","3.529","38.9","22.2","33.3",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","002
411","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
411","22","3.500","50.0","4.5","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","004
411","21","3.429","42.9","23.8","14.3","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","005
411","23","3.348","34.8","8.7","47.8","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","411
006","19","3.263","31.6","31.6","21.1",".","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","411
007","25","3.520","48.0","16.0","32.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","411
008","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","158","3.500","46.2","18.4","27.8","3.8","2.5","0.6",".",".",".",".",".",".","0.6",".",".","."
"Primates and Us","001
450","336","3.187","23.2","20.2","39.6","7.7","6.3","0.6","1.2","0.9",".",".",".",".","0.3",".",".","."
"Honors: Psych of Perception","486
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","43","2.774","18.6","11.6","20.9","18.6","20.9","4.7","2.3",".",".",".",".",".",".",".","2.3","."
"","003
501","54","3.269","27.8","22.2","35.2","5.6","9.3",".",".",".",".",".",".",".",".",".",".","."
"Depth Topic","Course Total","97","3.052","23.7","17.5","28.9","11.3","14.4","2.1","1.0",".",".",".",".",".",".",".","1.0","."
