"","990
007","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
014","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
028","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","","","",""
"E M A
346","Dept. Total","1145","2.930","25.1","17.5","27.5","7.1","12.5","5.2","3.4","1.5","",".","0.1","",".","0.2","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","27","2.426","11.1",".","40.7","3.7","29.6","7.4","7.4",".","",".",".","",".",".",".",".",".","."
"Sophomore","","320","2.669","15.0","7.8","38.1","7.2","19.7","7.2","4.7",".","",".",".","",".",".","0.3",".",".","."
"Junior","","372","2.944","21.5","23.7","28.2","8.3","11.0","5.1","2.2",".","",".",".","",".",".",".",".",".","."
"Senior","","360","3.139","36.1","21.7","19.7","6.9","8.1","3.9","3.3","0.3","",".",".","",".",".",".",".",".","."
"Undergraduates","","1079","2.908","24.2","17.7","28.6","7.4","13.1","5.4","3.4","0.1","",".",".","",".",".","0.1",".",".","."
"Special","","9","2.615","44.4",".","22.2",".","11.1",".","22.2",".","",".",".","",".",".",".",".",".","."
"Graduate","","56","3.595","37.5","16.1","7.1","1.8","1.8","1.8",".","28.6","",".","1.8","",".","3.6",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","1145","2.930","25.1","17.5","27.5","7.1","12.5","5.2","3.4","1.5","",".","0.1","",".","0.2","0.1",".",".","."
