"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Construction Systems","290","001","","21","3.262","23.8","28.6","28.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","68","2.897","8.8","10.3","44.1","25.0","11.8",".",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","77","3.032","14.3","20.8","40.3","11.7","10.4","2.6",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","63","2.865","12.7","25.4","14.3","23.8","20.6","3.2",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","002","","89","3.062","15.7","15.7","50.6","7.9","7.9","1.1","1.1",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","002","","52","3.067","21.2","25.0","19.2","23.1","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","56","3.134","26.8","10.7","41.1","8.9","10.7","1.8",".",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","16","3.367","18.8","37.5","31.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","70","3.275","17.1","30.0","42.9","7.1","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","25","3.520","32.0","48.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","61","3.369","29.5","27.9","29.5","13.1",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","30","3.317","43.3","13.3","30.0","3.3","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","428","001","","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Systems Optimization","429","001","","15","3.607","46.7","20.0","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","16","3.219","25.0","31.3","18.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","38","3.171","10.5","39.5","28.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","53","3.830","69.8","26.4","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","10","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","74","3.689","56.8","27.0","14.9",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"Hazardous Waste Management","522","001","","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","27","3.222","18.5","25.9","48.1","3.7",".","3.7",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","52","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","48","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Hydraulics&Fluid Mech","618","001","","15","3.567","60.0","13.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","619","001","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","002","","11","3.750","63.6","18.2",".","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"","619","003","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Hydrology","","Course Total","","31","3.683","51.6","32.3","9.7","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"Special Topics-Envir Engr","629","002","","85","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt","631","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Geotechnical Engr","639","001","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","669","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669","002","","21","3.548","33.3","52.4","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","669","003","","21","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","669","006","","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics:Constructn Engr&Mgmt","","Course Total","","100","3.802","70.0","26.0","3.0",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"","679","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","679","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Transprtatn&City Plan","","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
