"CLASSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","",""
"Med Term-Greek&Latin Origin","205","001","123","3.593","49.6","30.1","16.3","2.4",".","0.8","0.8",".",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304","001","20","3.105","35.0","15.0","20.0","5.0","15.0",".","5.0",".",".",".",".",".",".","5.0",".","."
"The Romans","322","001","75","3.384","34.7","29.3","12.0","6.7","8.0","1.3",".","8.0",".",".",".",".",".",".",".","."
"Jewish Lit: Greco-Roman Period","346","001","8","3.143","37.5","12.5","12.5","12.5",".","12.5",".","12.5",".",".",".",".",".",".",".","."
"Gendr&Sexualty-Classcl Wrld","351","001","40","3.526","55.0","15.0","17.5","7.5",".",".","2.5","2.5",".",".",".",".",".",".",".","."
"Classical Mythology","370","001","231","3.142","19.0","32.5","23.4","13.4","5.6","2.6","1.3","2.2",".",".",".",".",".",".",".","."
"Topics in Roman Culture","372","001","25","3.609","40.0","32.0","20.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Topics in Classical Culture","373","001","47","3.326","51.1","8.5","14.9","4.3","4.3","6.4","2.1","8.5",".",".",".",".",".",".",".","."
"Undergrad Smr:Classicl Wrld","591","001","8","3.833","62.5",".","12.5",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Senior Honors Thesis","682","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","097","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
