"L&S","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","2228","3.481","43.3","24.6","13.6","5.6","3.3","0.9","0.7","6.6","0.0",".","",".","0.5","0.7","0.0","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","124","3.278","30.6","25.8","26.6","9.7","6.5",".","0.8",".",".",".","",".",".",".",".",".","."
"Sophomore","","629","3.440","42.1","28.1","16.4","8.3","2.7","0.8","1.1",".",".",".","",".",".","0.3",".",".","0.2"
"Junior","","590","3.517","47.6","28.1","14.2","4.2","4.1","1.2","0.2",".",".",".","",".",".","0.3",".",".","."
"Senior","","564","3.473","47.9","26.2","12.9","5.0","4.1","1.4","1.1","0.4",".",".","",".","0.2","0.7","0.2",".","."
"Undergraduates","","1907","3.463","44.8","27.4","15.4","6.1","3.8","1.0","0.8","0.1",".",".","",".","0.1","0.4","0.1",".","0.1"
"Special","","34","3.524","52.9","8.8","14.7","11.8","2.9",".",".","2.9",".",".","",".",".",".",".","5.9","."
"Graduate","","287","3.820","32.1","7.3","1.7","1.4",".",".",".","49.8","0.3",".","",".","3.8","2.4",".","1.0","."
"","Dept. Total","2228","3.481","43.3","24.6","13.6","5.6","3.3","0.9","0.7","6.6","0.0",".","",".","0.5","0.7","0.0","0.2","0.0"
