"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"599","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","012","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","021","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","51","3.989","92.2","2.0",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"620
Intmed Transport Phenomena","001","","28","3.554","50.0","10.7","39.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Adv Independent Studies","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"720
Physicochem Hydrodynamics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Adv. Chem. Proc. Syn. and Opt.","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"783
Design of Biological Molecules","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"890","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","67","",".",".",".",".",".",".",".","85.1",".",".",".","14.9",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Seminar-Chem Engineering","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
