"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","75","2.967","13.3","28.0","38.7","5.3","4.0","8.0","2.7",".",".",".",".",".",".",".",".","."
"","002
224","76","3.072","23.7","30.3","22.4","7.9","6.6","6.6","2.6",".",".",".",".",".",".",".",".","."
"","003
224","91","3.280","29.7","27.5","28.6","6.6","4.4","2.2","1.1",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","242","3.118","22.7","28.5","29.8","6.6","5.0","5.4","2.1",".",".",".",".",".",".",".",".","."
"","301
001","143","3.285","35.0","30.8","14.0","9.1","4.9","4.2","1.4","0.7",".",".",".",".",".",".",".","."
"","002
301","137","2.901","21.9","17.5","28.5","12.4","6.6","9.5","2.9","0.7",".",".",".",".",".",".",".","."
"","003
301","140","3.211","33.6","29.3","15.7","8.6","5.7","4.3","2.9",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","420","3.135","30.2","26.0","19.3","10.0","5.7","6.0","2.4","0.5",".",".",".",".",".",".",".","."
"Acc Intro to Stat Meth","302
001","51","3.255","45.1","5.9","23.5","13.7","9.8",".","2.0",".",".",".",".",".",".",".",".","."
"","309
001","30","2.650","26.7","3.3","23.3","6.7","26.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"","309
002","28","3.304","32.1","25.0","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","58","2.966","29.3","13.8","22.4","10.3","17.2","3.4","3.4",".",".",".",".",".",".",".",".","."
"","310
001","15","3.267","33.3","20.0","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","310
002","32","2.613","12.5","21.9","12.5","15.6","21.9","6.3","6.3",".",".",".",".",".","3.1",".",".","."
"Intro to Prob & Math Stat II","Course Total","47","2.826","19.1","21.3","17.0","12.8","19.1","4.3","4.3",".",".",".",".",".","2.1",".",".","."
"","311
001","60","3.100","31.7","5.0","43.3","1.7","15.0","1.7","1.7",".",".",".",".",".",".",".",".","."
"","311
002","57","3.009","35.1","7.0","21.1","5.3","29.8",".","1.8",".",".",".",".",".",".",".",".","."
"","003
311","59","3.314","23.7","32.2","33.9","3.4","6.8",".",".",".",".",".",".",".",".",".",".","."
"Intro Math Sat (Theo, Meth) I","Course Total","176","3.142","30.1","14.8","33.0","3.4","17.0","0.6","1.1",".",".",".",".",".",".",".",".","."
"","312
001","43","3.093","30.2","7.0","32.6","11.6","18.6",".",".",".",".",".",".",".",".",".",".","."
"","002
312","55","3.418","32.7","27.3","32.7","5.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","Course Total","98","3.276","31.6","18.4","32.7","8.2","9.2",".",".",".",".",".",".",".",".",".",".","."
"","324
001","61","3.213","29.5","31.1","19.7","11.5","1.6","3.3","3.3",".",".",".",".",".",".",".",".","."
"","324
002","62","3.323","35.5","30.6","12.9","11.3","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"","324
003","47","3.266","40.4","19.1","23.4","8.5","2.1","2.1","4.3",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","170","3.268","34.7","27.6","18.2","10.6","3.5","2.9","2.4",".",".",".",".",".",".",".",".","."
"","327
001","36","3.778","83.3","11.1",".",".","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"","327
002","34","3.897","88.2","2.9","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
003","25","3.840","96.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".",".","."
