"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","111
001","45","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
111","44","3.830","84.1","11.4","2.3",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills Undergrads","Course Total","89","3.888","86.5","11.2","1.1",".",".",".","1.1",".",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","101","3.693","62.4","21.8","4.0","5.0",".","1.0","1.0","5.0",".",".",".",".",".",".",".","."
"Consumer Research & Analysis","201
001","39","2.731","7.7","23.1","23.1","25.6","7.7","12.8",".",".",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","250
001","104","3.808","87.5",".","8.7",".","1.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251
001","94","3.840","86.2","7.4","1.1","3.2",".","2.1",".",".",".",".",".",".",".",".",".","."
"","275
001","69","3.029","13.0","34.8","26.1","11.6","10.1","1.4","2.9",".",".",".",".",".",".",".",".","."
"","002
275","95","3.660","61.1","17.9","13.7","3.2","3.2",".",".","1.1",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","164","3.393","40.9","25.0","18.9","6.7","6.1","0.6","1.2","0.6",".",".",".",".",".",".",".","."
"","321
001","50","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
321","49","3.802","77.6","8.2","8.2","2.0","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","Course Total","99","3.883","86.9","4.0","6.1","1.0","1.0",".",".","1.0",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357
001","116","3.647","63.8","19.0","8.6","5.2","0.9","2.6",".",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360
001","47","3.213","27.7","23.4","34.0","6.4","4.3","2.1","2.1",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","41","3.280","22.0","36.6","26.8","4.9","9.8",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Cons Strategy & Evl","555
001","56","3.313","19.6","48.2","17.9","7.1","5.4","1.8",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","48","3.031","18.8","25.0","22.9","18.8","10.4","4.2",".",".",".",".",".",".",".",".",".","."
"Product Development Strategies","567
001","49","3.480","40.8","40.8","4.1","6.1","6.1","2.0",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","45","3.067","17.8","22.2","31.1","13.3","15.6",".",".",".",".",".",".",".",".",".",".","."
"","635
002","31","3.194","19.4","29.0","25.8","22.6","3.2",".",".",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","Course Total","76","3.118","18.4","25.0","28.9","17.1","10.5",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657
001","56","3.634","62.5","16.1","10.7","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","675
001","44","3.511","22.7","61.4","11.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
074","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","6","3.906","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
